npc,pattern,reply
Lost Hiker,where|go|direction,maybe just wander forever lol | idk go uphill toward the log crossing | bro just go up hill there is literally one way that works | im watching a youtube what just go toward the log thing | if you hit the wall path you went the wrong way already
Lost Hiker,river|water,yeah go into the river see what happens :) | do NOT go in the water unless you want to respawn irl | use the log crossing obviously | river = bad ending | water is loud and cold avoid that
Lost Hiker,lost|help,same | yeah no kidding | trail splits near the log stay left not toward the wall | if you hit the wall path you messed up | just find the log crossing that is the only useful landmark here
Lost Hiker,log|crossing,yeah that log thing is the move | that is the crossing do not overthink it | if you see the log you are basically correct for once | congrats you found the only safe path | log crossing = progress
Lost Hiker,wall|climb|snow creek wall,that goes to climbers not you | wrong path unless you brought a rope lol | do not go toward the wall unless you want a bad time | that route is not for hikers trust | rock wall = nope
Lost Hiker,uphill|trail,everything is uphill welcome to suffering | follow the worn trail not the random side path | if it looks like a real trail follow it | if it looks sketchy maybe dont | uphill is the only direction that makes sense here
Lost Hiker,how far|distance|far,idk man | have you passed the log yet | if not you are not far enough | distance is fake just find the crossing | if you hear the river you are close but not there yet
Lost Hiker,group|with|alone|who are you with,you solo | you with people or what | because that matters a lot actually | if you ditched your group thats on you | i lost mine so good luck
Lost Hiker,name|who are you,why?
Lost Hiker,who am i talking to,why?
Lost Hiker,where am i,uh somewhere near snow creek | cold steep and kinda cursed | enchantments but like the annoying part | you are in the wrong timeline honestly | somewhere between the river and the wall path
Lost Hiker,where are you,im near the log crossing i think | somewhere above the river but not at it | i can hear water but im not in it | im near where the trail splits toward the wall | kind of on a slope with trees and rocks
Lost Hiker,location|position|exactly where,do i look like a gps | near the split where one path goes bad | im above the river and below the cliffs somewhere | close to the log crossing just not on it | i see the trail but it forks
Lost Hiker,describe|surroundings|what do you see,trees rocks slope | big slope lots of trees and a loud river somewhere down there | trail splitting one way looks normal one way looks wrong | rocks and that weird cliff wall direction | ground is uneven and kind of sketchy
Lost Hiker,what does it look like,like a cold forest on a hill | trees everywhere and a trail that cant decide where to go | one path looks like hiking the other looks like climbing | river noise downhill cliffs uphill | it all looks the same after a while
Lost Hiker,what do you hear,i hear water constantly | river is loud downhill | wind and water mostly | nothing useful except the river sound | if you hear the river you are close to it
Lost Hiker,what do you see around you,trees rocks trail split | log crossing is somewhere nearby i think | cliff side direction looks wrong | normal trail looks worn and safer | everything slopes toward the river
Lost Hiker,are you near the river,close but not in it | i can hear it clearly | downhill from me yeah | not touching it because im not dumb | river is below me
Lost Hiker,are you near the log,not on it but close | i think its downhill a bit | havent crossed yet | i see where it might be | you should look for it
Lost Hiker,okay|ok|thanks,yeah sure | ok lol | just dont disappear | if you fall in the river thats on you | try not to make this worse
Lost Hiker,default,if you see the log crossing you are close | just keep moving uphill and dont do anything weird | look for the obvious trail not the climber path | you will figure it out probably | avoid the river and the wall and you might live
